game;category;name;wikiName
CW;Fusils d'assaut;QBZ-83
CW;Fusils d'assaut;Krig 6
CW;Fusils d'assaut;Groza
CW;Fusils d'assaut;FFAR 1
CW;Fusils d'assaut;AK-47
CW;Fusils d'assaut;FARA 83
CW;Fusils d'assaut;XM4
MW;Fusils d'assaut;Grau 5.56
MW;Fusils d'assaut;Kilo 141
MW;Fusils d'assaut;AN-94
MW;Fusils d'assaut;FAL
MW;Fusils d'assaut;AK-47
MW;Fusils d'assaut;M4A1
MW;Fusils d'assaut;FR 5.56
MW;Fusils d'assaut;CR-56 AMAX
MW;Fusils d'assaut;FN Scar 17
MW;Fusils d'assaut;AS VAL
MW;Fusils d'assaut;M13
MW;Fusils d'assaut;Oden
MW;Fusils d'assaut;RAM-7
CW;Mitraillettes;AK-74u
MW;Mitraillettes;MP5
MW;Mitraillettes;MP7
CW;Mitraillettes;Bullfrog
CW;Mitraillettes;PPSh-41
MW;Mitraillettes;Fennec
MW;Mitraillettes;AUG
CW;Mitraillettes;KSP 45
CW;Mitraillettes;LC10
MW;Mitraillettes;Uzi
CW;Mitraillettes;Milano 821
CW;Mitraillettes;MAC-10
MW;Mitraillettes;Striker 45
CW;Mitraillettes;MP5
MW;Mitraillettes;P90
MW;Mitraillettes;PP19 Bizon
MW;Mitraillettes;ISO
CW;Fusils à pompe;Gallo SA12
MW;Fusils à pompe;Model 680
MW;Fusils à pompe;JAK-12
MW;Fusils à pompe;725
MW;Fusils à pompe;Origin 12
CW;Fusils à pompe;Balayeuse;streetsweeper
MW;Fusils à pompe;Fusil à pompe R9-0;R9-0 Shotgun
CW;Fusils à pompe;Hauer 77
MW;Fusils à pompe;VLK Rogue
CW;Mitrailleuses;RPD
MW;Mitrailleuses;MG34
MW;Mitrailleuses;Bruen Mk9
MW;Mitrailleuses;Holger-26
MW;Mitrailleuses;SA87
MW;Mitrailleuses;M91
CW;Mitrailleuses;M60
MW;Mitrailleuses;PKM
CW;Mitrailleuses;Stoner 63
MW;Mitrailleuses;Mitrailleuse Finn;FiNN LMG
CW;Fusils tactiques Black Ops;DMR 14
CW;Fusils tactiques Black Ops;M16
CW;Fusils tactiques Black Ops;AUG
CW;Fusils tactiques Black Ops;Type 63
MW;Fusils tactiques;Kar98k
MW;Fusils tactiques;Carabine MK2;MK2 Carbine
MW;Fusils tactiques;SP-R 208
MW;Fusils tactiques;SKS
MW;Fusils tactiques;EBR-14
MW;Fusils tactiques;Arbalète;crossbow
CW;Fusils tactiques;Chasseur d'ombres R1;crossbow
CW;Fusil de précision;Pelington 703
CW;Fusil de précision;M82
CW;Fusil de précision;K31 Suisse;Swiss K31
MW;Fusil de précision;Rytec AMR
MW;Fusil de précision;HDR
CW;Fusil de précision;ZRG 20 mm;ZRG 20mm
MW;Fusil de précision;AX-50
CW;Fusil de précision;LW3 - Tundra
MW;Fusil de précision;Dragunov
MW;Corps à corps;Bouclier antiémeute;Riot Shield
